ful_000003|Feccere go’o so sowaama laabi teemedere, hawra e capanɗe joyi.
ful_002991|Wuro Laamɗo nyibiraama mahdi laaɓndi nden ko fentiraama pente laaɓɗe.
ful_002992|Maayel peetel ha chaka kooseeje.
ful_002994|Ghana ɓuri Nigeriya areji budi kamma bo hamɓe ɓe gala diyam sarai.
ful_002998|Diwal Niger on ɓuri kala diwal fuu mawnugo babal ha Naajeeriya.
ful_003000|Baskur man ɓaleejum on.
ful_003006|Weedu Tchad: renndini be lesde hoɗdiiɓe,nafoore ndema e liɗɗi e.
ful_003008|Gorko kanko heɓi arano ɓaawo ɓe daɗootirii. _
ful_003009|Joweeɗiɗi sowa nde joweetati woni cappanɗe jowi e jowwgo'o.
ful_003010|Tuppawa goOta e fecco.
ful_003012|Almustpha Stadium e nguru enare da du wada ta taroji fu dun guru.
ful_003014|Woɓɓe nder juulɓe e ngaɗa Mawlud Nulaaɗo kala hitaande.
ful_003016|Nayi rimta jowi fotan be noogas.
ful_003018|Ardido laydi Najeriya Bola Tinubu hinni yimbe leydi eÑalngu Demokaraasi.
ful_003019|Ta a yehɓi nyanbe danje e nebam na'e hai ta a yejiti noffi mada.
ful_003020|Gerawa (ngoo anndiraa kadi Gerawa walla Fyandigeri) ko ɗemngal Afro-Asiatic haalanki nder lesdi Najeriya.
ful_003021|Ɗeraji janngirde wala janngowobe.
ful_003022|Feccere leemu e yeeso ɗiɗi leemu timmuɗo.
ful_003023|To a sendi tati bee juwi’e tati de juwi’e tati hokketee tati.
ful_003025|Agbokim waterfall inare den taa yehi a yo e diyam e joru buddin.
ful_003030|Muusa anndaano no janngirta binndi Enngiliisi.
ful_003032|Joni alasara dun jagol jiffake na non e nane.
ful_003033|Keenya mi nyaami nyiiri gawri bee haako follere.
ful_003035|Saffo juye gu'o dun hukke ma saffo tati.
ful_003036|jeego e jeeɗiɗi fotata ko sappo e tati.
ful_003037|Sewtaare hitaade hesre, sewtaare on.
ful_003038|Kode e nder kwalloji.
ful_003041|Hande wukakati dun bandu duniyaaru fu welah.
ful_003042|E dokaru du'u tagum e wudi dama wada kugal da yidi dama kuma dun hukku mu dama oh yaha nu o yidi dama.
ful_003043|Julɓe ɗo suuma nder lewru Ramaadana.
ful_003044|Jumɓaare woni juulde asaweere walla yontere.
ful_003045|Kosgal maako yewi o heɓe ɓe jokki, ɓe wi mo o tokka nyaamugo babbundi heɓa jokka law.
ful_003046|Ɓingel maako ɗiɗabel ɗo laaɓi bana maako.
ful_003048|Garba wala ɗon.
ful_003049|Mi ɗo sorra zobo.
ful_003050|Kano woni inare ko buri ko toye coggu e leydi ndii.
ful_003052|Maaroori Jollof jee Naaejeriya ɓuri jee Ghaana dakam.
ful_003053|Suleiman Ribadu andaado on haa diwal Adamawa.
ful_003054|Fe'ireewol gol ɗo  hawti bee Taarde.
ful_003055|Kala fajira fuu sai to Musa yari kossam.
ful_003059|Moodiɓɓe ɗuuɗɓe keɓii anndal lunngungal hiddee ɓe puɗɗa jannginki.
ful_003060|Hooseere juuti asama les duule ha nder ladde.
ful_003061|Fabarairu e wodi yalde 28 Der maru.
ful_003062|Maayo Amazon tokki Fombina Ameerika.
ful_003069|Waɗan cuɓ siyaasa Asawe warata ɗo.
ful_003071|Ɓikkon taton hoosi bindirɗe tati.
ful_003072|Baala ɗo nyaama geene, naange ɗo, legge manga do dari ha bawo Bala.
ful_003074|Millennium Park nokkuure sewtaare mawnde on woni kombi saare ardiiɗo Naajeeriya ha Abuja.
ful_003075|fecco nde te teemedere goo fotay e capanɗe jeewi.
ful_003077|Hande hendu yifaay fa'a woyla. Hendu doggay km10 e jamdi 1 bimbi.
ful_003078|E wodi alama hannde un hebay colaaje e hendu alarasa e dow degri celcius 27.
ful_003079|Saare Ardiiɗo Najeeriya oɗ caka Abuja ha Hooseere Aso Rock.
ful_003081|Nyiiri gawri maako koodei bee tasɓa o nyaamata.
ful_003083|Yande ko hitande kese dun jitade da warata fu bawa ko deye hitande.
ful_003084|Diwal Taraba on ɓuri demal ɓulunji ha leydi Naajeeriya no foti.
ful_003086|saffo e saffo dun hukkema tammere goo.
ful_003088|Yande go'o min meɗi yahgo Hadejia Baturiya riba konen don wukkati diyam minjari wahala aradu.
ful_003090|Bingel e fija e bal.
ful_003091|Nder lewru Afril fuu Masihiyinki’en ɗo waɗa lamar Paska.
ful_003092|Joweetati rimta Joweenay fotan bee capanɗe Joweeɗiɗi e ɗiɗi.
ful_003094|Bola Tinubu woni ardido leydi Najeeriya mo jooni.
ful_003095|KwallIo ji nue Ahmed Musa yamani Nageriya? Ahmed Musa waɗii golle 15 e nder fedde nde, hono Super Eagles.
ful_003096|Go'o pecce nayi sowa nde cappanɗe ɗiɗi woni jowi.
ful_003097|Saffo e go'u to dun hauti dun e tati dun hukkema saffo e nayi.
